"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Simon",6,0,15,32737,69,8,0,0,0
"Lester",13,1,7,35341,70,1,1,1,0
"Luke",12,1,8,34735,70,2,1,0,0
"Paul",12,0,9,36120,70,3,1,1,1
"Mark",12,0,9,35464,70,4,1,0,0
"Jordan",11,0,10,33824,70,5,0,0,0
"Anthony",9,0,12,34838,70,6,0,0,0
"James",8,0,13,34336,70,7,0,0,0
"Simon",6,0,15,32862,70,8,0,0,0
"Lester",16,0,5,35994,71,1,1,0,0
"Paul",12,0,9,36412,71,2,1,1,1
"Mark",12,0,9,36034,71,3,1,0,0
"Jordan",12,0,9,34818,71,4,1,1,0
"Luke",11,0,10,34745,71,5,0,0,0
"James",10,0,11,35172,71,6,0,0,0
"Anthony",9,0,12,34317,71,7,0,0,0
"Simon",2,0,19,32673,71,8,0,0,0
"Lester",17,0,4,36245,72,1,1,0,0
"Mark",13,0,8,35652,72,2,1,1,0
"Luke",12,0,9,35108,72,3,1,0,0
"Anthony",12,0,9,34907,72,4,1,1,1
"Paul",11,0,10,36011,72,5,0,0,0
"Jordan",7,0,14,33132,72,6,0,0,0
"James",6,0,15,34948,72,7,0,0,0
"Simon",6,0,15,33393,72,8,0,0,0
