season,round,fixture,team_id,team,coach,team_score,opponent_team_id,opponent_team,opponent_coach,opponent_score,differential,win,draw,loss,position,points,wins,draws,losses,points_for,points_against,pcnt
2016,6,2,,Brave Hartung,KAPPAZ,1661,,Game of Jones,RICHO,1692,-31,0,0,1,1,20,5,0,1,10086,9413,107.15
2016,6,1,,Gawn Girl,CHIEF,1667,,Bontback Mountain,MELONS,1582,85,1,0,0,2,16,4,0,2,9674,10010,96.64
2016,6,4,,Such is Fyfe,PMAC,1614,,We're Not Gwilty,GARTER,1600,14,1,0,0,3,12,3,0,3,9690,9508,101.91
2016,6,1,,Bontback Mountain,MELONS,1582,,Gawn Girl,CHIEF,1667,-85,0,0,1,4,12,3,0,3,9987,9857,101.32
2016,6,3,,Steele Rebuilding,LESTER,1643,,Cotch Me If Ya Can,JMERC,1515,128,1,0,0,5,12,3,0,3,9673,9886,97.85
2016,6,4,,We're Not Gwilty,GARTER,1600,,Such is Fyfe,PMAC,1614,-14,0,0,1,6,8,2,0,4,9605,9614,99.91
2016,6,2,,Game of Jones,RICHO,1692,,Brave Hartung,KAPPAZ,1661,31,1,0,0,7,8,2,0,4,9925,9999,99.26
2016,6,3,,Cotch Me If Ya Can,JMERC,1515,,Steele Rebuilding,LESTER,1643,-128,0,0,1,8,8,2,0,4,9491,9844,96.41
2016,7,4,,Brave Hartung,KAPPAZ,1477,,Such is Fyfe,PMAC,1624,-147,0,0,1,1,20,5,0,2,11563,11037,104.77
2016,7,2,,Gawn Girl,CHIEF,1790,,Cotch Me If Ya Can,JMERC,1207,583,1,0,0,2,20,5,0,2,11464,11217,102.2
2016,7,4,,Such is Fyfe,PMAC,1624,,Brave Hartung,KAPPAZ,1477,147,1,0,0,3,16,4,0,3,11314,10985,102.99
2016,7,1,,Bontback Mountain,MELONS,1675,,We're Not Gwilty,GARTER,1674,1,1,0,0,4,16,4,0,3,11662,11531,101.14
2016,7,3,,Game of Jones,RICHO,1549,,Steele Rebuilding,LESTER,1524,25,1,0,0,5,12,3,0,4,11474,11523,99.57
2016,7,3,,Steele Rebuilding,LESTER,1524,,Game of Jones,RICHO,1549,-25,0,0,1,6,12,3,0,4,11197,11435,97.92
